書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
影后：比夜色更寂寞,真月,愛情,連載,2959,獨家原創,跨域,求而不得,演藝圈,,,https://mojoin.com/novels/3781,"★ 臺灣原創熱播影集《影后》獨家授權改編小說推薦
一窺角色內心，揭露成名背後不可告人的祕密心事

二十八歲的史艾瑪，擁有了曾經夢寐以求的一切──
接不完的戲約、重要獎項的肯定、一線女星的地位，
然而每當在夜裡獨處，她總會被洶湧而至的寂寞吞噬。
原來有了那些還不夠，她還想要有人真心待她。
這樣很貪心嗎？但人總是貪心的，不是嗎？

直到某天，一名年輕的新人男演員出現在她面前，
他對她的刻意討好，是那般顯而易見。
史艾瑪在男演員身上看見了自己的影子，
他和當年的她一樣懷才不遇、一樣渴望成功……"
逆天萌寶，妖皇爹爹別搶娘親,小魚兒不愛花無缺,愛情,完結,110,吾里文化,古代言情,玄幻仙俠,,,,https://mojoin.com/novels/3816,"【幻想言情+古言萌寶+女強+團寵+穿越+古言甜寵+寵妻+扮豬吃虎】 
剛穿越就被黑蓮花姊妹毀容下藥，命懸一線，好不容易逃出生天，卻被人當成解藥送人了？ 
駱卿漓表示，這運氣其實有點差！ 不過，這男人長得賊帥，當她的解藥也不錯！ 本以為只是一面之緣，駱卿駱怎麼都沒想到，自己肚子裡還偷偷藏了個小崽！ 
這也就算​​了，崽崽錦鯉體質，想啥有啥，能號令萬獸，簡直不要太拉風，實乃居家旅遊、吊打渣渣之必備良品！ 
駱卿駱本想帶著崽崽吃遍天下美食，看遍萬水千山，卻不想，冒出一個男人跟她搶兒子？ 
南峪擺手：“不，我不搶兒子，我要搶的是你！”"
逆天毒妃：絕色魔尊乖乖受寵,甜茶茶,愛情,完結,110,吾里文化,古代言情,女強重生,,,,https://mojoin.com/novels/3814,"【穿越+女強+甜寵+寵妻+腹黑+扮豬吃虎+嫡女+幻想言情+天才+團寵】 
她是古武家主，醫毒雙絕，一根銀針，活死人肉白骨，一朝穿越，成了人人唾棄的廢材醜女。 
餵她毒藥，奪她真鳳血脈，毀她清白，挖她雙目！ 廢物變天才！ 
帝家嫡女逆天改命，駕馭神獸煉神丹，踩太子，虐白蓮，讓你知道誰才是女王！ 醜女？ 哼！ 紅胎散去，絕色傾城！ 被無數美男追求！ 
坐擁乾坤空間，天材地寶隨便拿，極品丹藥隨便吃，囂張狂妄.
不小心惹到了某人，從此以後，某個絕色大妖孽日常堵門:「小丫頭，看你往哪裡逃？ 」"
放過我吧，公爵大人！,湯元元,愛情,連載,58590,獨家原創,羅曼史,宮廷風,穿越,重生,先婚後愛,https://mojoin.com/novels/3643,"宋儷昀原本只是個生活在二十一世紀的普通少女，某天醒來卻驚覺，自己變成名為「奧黛莉亞」的一國公主，且公主還死過了一次，也就是說她不只穿越，還算是重生了！
她發現公主的死因和丈夫──來自鄰國的塞德里克公爵脫不了關係。英俊能幹的塞德里克位高權重，深受各方女性愛慕，公主自然也不例外。即使是政治聯姻，奧黛莉亞公主依舊深愛塞德里克，只是直到死亡前一刻，她都未曾分得丈夫一點憐愛，甚至很有可能是被塞德里克所殺。
這一次，成為奧黛莉亞的宋儷昀決定逃離這個男人！然而塞德里克卻顯然一點也不想放過她……

「不管當初發生了些什麼，都已經和現在無關了。」
「等等，塞德里克，你在說什……」
「無論妳的想法是什麼，妳都不能走。」
"
指數化愛情,小非,愛情,連載,13823,獨家原創,BG愛情,歡喜冤家,浪漫輕喜劇,,,https://mojoin.com/novels/3770,"年近三十的小資女蘇慕耘，是個渴望致富的股市小白，
於是報名參加投資名師張復恆開設的課程，
課後成為粉絲的她，決定到他開課的書店上班。

某次張復恆在課堂上教導學員進行高風險操作，
卻遭書店常客鍾梓軍出言反駁，蘇慕耘跳出來為偶像護航，
從此兩人時常針鋒相對，一見面就吵架。

只是當鍾梓軍又一次駁斥張復恆的投資觀點時，蘇慕耘竟被說服了，
原來鍾梓軍曾是投資圈裡的傳奇人物，卻在兩年前突然退隱。
為了不讓蘇慕耘在股市裡成為被收割的韭菜，
這兩名男人展開了一場激烈的投資比賽，
而贏家的獎品竟是……蘇慕耘的吻？"
離開的一路上,授權改編／理想混蛋　作者／晨羽,愛情,完結,3279,獨家原創,最美的愛情是遺憾,都會愛情,穿越,,,https://mojoin.com/novels/3785,"理想混蛋Bestards人氣歌曲改編小說．2024《看你聽的》音樂X漫畫X小說跨域特企作品

打從有記憶以來，我就始終是一抹飄泊的靈魂。
只要淋了雨，且隔天仍是雨天，我所在的時空便會發生改變，而我的靈魂也會隨機穿梭到某個人的身體裡，取代他繼續生活。
我可以成為任何人，卻無法真正擁有自己的人生。

我習慣了當個短暫的過客，也不認為有什麼能讓我停留──
直到遇見那個名叫潘葶的女孩。
這是第一次，我不希望和對方說了再見之後，卻無法再見……"
小紫,授權改編／芒果醬　作者／李柏青,愛情,完結,2688,獨家原創,都會愛情,懸疑反轉,,,,https://mojoin.com/novels/3784,"芒果醬Mango Jump人氣歌曲改編小說．2024《看你聽的》音樂X漫畫X小說跨域特企作品

害死前男友的拜金女──這是眾人對小紫的印象，包含萊特。
然而萊特卻覺得小紫像一朵驕傲的薔薇，美麗卻帶刺的姿態深深吸引著他。
於是他主動接近小紫，逐漸融化她心防的同時，也在她的溫柔中淪陷。

與小紫交往後，萊特協助小紫經營精品代購生意，還一起成立了公司，日子過得甜蜜且順遂。
就在萊特認定兩人會這樣相伴一生時，卻突然收到小紫昔日好友的告誡。
她說，小紫的一切都是假的……"
往矣,馮子緣,愛情,完結,0,原創星球,虐心,奇幻,穿越,戀愛,感動,https://mojoin.com/novels/3780,"凌小倩的男朋友唐頁是個渣男，常常令她傷心，及後，她在一場意外中過身，她的靈魂不斷縈繞在唐頁身旁，卻意外發現唐頁的改變。

作者註：封面是馮子緣在旅遊時拍下的照片，照片版權由馮子緣擁有"
A子不會預言自己死亡01,午夜藍,愛情,完結,0,三日月書版,預言,奇幻,愛情,,,https://mojoin.com/novels/3778,"「十八歲生日那天，我會死。」
自稱能看見未來的少女，找上了一事無成的我…… 

異能高中少女及絕望大學青年，共譜微帶不安的青春異想戀曲──

在劉松霖打工的咖啡店，有位讓人在意的常客。氣質清冷、總是獨坐在窗邊的安靜女高中生，這樣的少女，初次開口就是莫名其妙的預言？──她，會在18歲生日當天死亡。

劉松霖與少女許下約定，希望能幫助她活下去。但，拯救某人這件事，真的有這麼簡單嗎？想改變命運軌跡的少女與青年，一步步接近預言背後的真相──"
遺失的角落,馮子緣,愛情,連載,40,原創星球,都市,青春,暗戀,戀愛,,https://mojoin.com/novels/3732,"上集： 主人翁楚楚本來有個拍拖穩定的男朋友阿傑，但自她遇上陽光男孩樂捷以後，便再也管束不住自己的感情，深深地陷進三個人的痛苦關係中......
下集： 經歷愛情重傷的女主角楚楚，重新投入新生活，遇到新的追求者，究竟她會開展一段新的感情，還是跟樂捷和阿傑的緣份還未了斷呢?"
墮天使的羽翼,海空,愛情,完結,6,原創星球,奇幻,成長,異世界,架空,戀愛,https://mojoin.com/novels/3695,"因父母離異感到孤單的活潑女孩，
遇上從天而降遭到天界排斥的墮天使。

兩人的相遇究竟會發生什麼事呢？

一段愛情中，唯有勇往直前的去追尋，才能找到真正的幸福。"
渣男進化論,烏瞳貓,愛情,完結,3,原創星球,搞笑,短篇,歡樂,救贖,,https://mojoin.com/novels/3682,"這是我第一次覺得，想被一個人愛著，很難。
———————————————————
會讀心術的極品渣男X天然呆治癒系少女"
