nIndex,Title,Category,State,Love,Series,SeriesN,Warrant,Link,Introduction,aIndex,pIndex
1,第二遊戲世界 第二部：無限樹海,奇幻科幻,完結,351440,0,0,,https://mojoin.com/novels/3700,"──能使人們奉獻出一生的，只有他們所虔誠信仰的事物。

原以為成功破關就能返回現實世界，不料倖存下來的玩家們卻被迫參與新的遊戲。
一夜之間，我和以璇等人便被轉移至文明徹底崩毀的臺北，放眼望去周遭盡是茂密樹海，並出現十二座高塔與被高塔圍繞的世界樹，塔內是玩家們唯一安全的棲身之所，卻不時會有敵兵來襲。

面對強大的遠古巨獸、無情的機械士兵，所有人必須利用自身擁有的一切守住高塔。
為了生存、為了延續微弱的希望，我們不得不再次面對神所給予的殘酷試煉……",173,9
2,雙馬尾幼女抱著大腿求我穿越這能不答應嗎？,奇幻科幻,完結,6861,0,0,,https://mojoin.com/novels/2350,"在中了十億樂透的下一秒穿越到異世界是什麼概念？
「搞什麼鬼？讓我回去啊啊啊！！！」
前略，高中生周璟穿越了。
「恭、恭喜你，你成功穿越了……」
出現在周璟面前的，是身為【幸福之神】的幼女「神蘿」。
她的工作是隨機把人傳送到各個異世界裡、拯救那些瀕臨毀滅的世界。
然而不知道為什麼，那些穿越者總是活不了多久，
不是被龍吞掉、被圍起來燒燬，就是因為摸到軟綿綿的胸部而被淨化消失（？）。
秉持著不能揮霍十億至少也要摸到一次、咳，也要拯救人命的精神，
周璟就此展開了跨越時空的異世界巡遊之旅──原本應該是這樣。
沒想到會在第一個世界就被絕世美女撲倒！而且美女還是貴妃！
這難道就是所謂的給皇上戴綠帽？
周璟的人生就到此為止了嗎？",313,9
3,原子少年──在星芒綻放之前,奇幻科幻,完結,5721,0,0,,https://mojoin.com/novels/3020,"在遙遠的某個宇宙中，太陽系的八大行星各自發展出了獨特文明，居民們都過著安穩的生活。
然而有天，各大行星由於不明原因遭到「黑暗物質」侵襲，受感染的生物都逐漸失控，唯獨有一群能不受黑暗物質影響的少年，成為了眾人的希望，而這群少年就被稱之為──「原子少年」。

為了創造出能夠消滅黑暗物質的「永恆物質」，分別來自八大行星的少年們，受到宇宙聯盟召集進行訓練，同時也將進行各項任務，在訓練及任務中的表現，都將影響他們獲取永恆物質的數量。

由於想替自己的星球爭取更多永恆物質，少年們各自懷抱心思，是該將彼此視為競爭對手，還是合作夥伴？而身負使命的他們，也擁有著各自的夢想，以及迷惘。在他們的光芒綻放之前，所要面臨的挑戰才剛剛開始……",224,9
4,《周處除三害》電影番外小說：我的87多重人生,奇幻科幻,完結,4782,0,0,,https://mojoin.com/novels/3650,"電影《周處除三害》獨家授權番外小說
在酣暢淋漓的觀影體驗之後，藉由小說一窺陳桂林的內心世界，滿足你更多的想像！

遭到槍決後，陳桂林迎來了閻王的審判，結果卻被宣告得投胎當一隻鵪鶉！？
陳桂林不願意，再怎麼說他都是全臺最出名的通緝犯了，怎能淪落至此？

在押送途中，他注意到長廊兩旁有許多扇門，於是溜進了其中一扇門，不料卻落入一處奇異空間，先是被戴著豬頭頭套的殺人魔追殺，還遇見一個個長得和自己一模一樣的「陳桂林」們──不過也不能說一模一樣，那些陳桂林，有的比他白胖、有的少了一隻眼睛，有的甚至才只有十歲……

從那些陳桂林的口中，他拼湊出自己本來可能擁有的其他人生……",174,9
5,關閉太陽,奇幻科幻,完結,377,0,0,血肉果汁機,https://mojoin.com/novels/3656,"血肉果汁機人氣歌曲改編小說 ‧2023《看你聽的》音樂X漫畫X小說跨域特企作品

因為母親是天才科學家，他從小在人類語言模型「勒托」的教育下長大，
在母親過世後，他接手對於勒托的訓練。
和母親一樣，他深信只要能複製人類的語言思維，終有一天可以複製人類，
然而這份信念卻在遇到「她」之後破滅。

她既不瞭解他母親的偉大，也不懂勒托對人類的意義，
甚至沒有發現與她通信多年的並不是他，而是勒托複製的他。
他本來應該為此感到高興，勒托成功複製了他的語言思維，
然而，他卻產生了一種奇妙的挫敗感……",511,9
6,神與畜,奇幻科幻,完結,698,0,0,,https://mojoin.com/novels/3681,二十二世紀，為了打破「紅心傑克」的宿命，李晴煬加入名為「神與畜」的組織。作為《愛麗絲夢遊仙境》後代，他們不是童話故事的英雄，而是早已被安排的羔羊。,261,6
7,一擊會心‧加杜克！,奇幻科幻,完結,18,0,0,,https://mojoin.com/novels/3678,"傳統感覺的機器人故事，以幽默的小說形式登場！？
面對巨大的野望，僅一隊的游擊軍，為正義而勇敢的挺身而出！",90,6
8,身為主角當然要拯救惡役！,奇幻科幻,完結,1568,0,0,,https://mojoin.com/novels/3678,"傳統感覺的機器人故事，以幽默的小說形式登場！？
面對巨大的野望，僅一隊的游擊軍，為正義而勇敢的挺身而出！",16,6
9,沒魔法資質的我在異世界靠科技成為救世主,奇幻科幻,完結,0,0,0,,https://mojoin.com/novels/3690,"台灣護國神山用的矽晶圓，切割前的矽晶柱，竟是最好的魔石？誰說台灣沒有硬科幻小說，這就是了。
主角雖然開外掛，但不是萬中選一、沒有血脈加持、並非神明賠償、不搞臥薪嘗膽、沒有莫名奇妙的幸運、不玩生死徘徊後覺醒…那他如何開掛、在異世界當上救世主？憑著他靠科學知識鑽了魔法規則的漏洞，並依此召喚出大量的科學家、學者、工程師、技師、現代軍隊，建立出他的專屬團隊…是的，簡單來說，這不但是一部轉生穿越龍傲天作，還是一部微硬科幻小說。",341,6
10,在劍與魔法的世界要怎麼玩Minecraft！？(轉生當個創世神),奇幻科幻,完結,120,0,0,,https://mojoin.com/novels/648,一個熱愛「我的世界」遊戲的玩家，在一場離奇意外中失去了意識，當他醒過來的時候卻發現自己以「我的世界玩家」的身份轉生到了一個充斥著魔法與怪物的世界。在無法使用魔法的狀態下，他利用「我的世界玩家」的能力在這片未知的土地上展開了生存。,215,6
