nIndex,tIndex
1,171
1,129
1,173
1,124
1,67
2,26
2,19
2,132
2,632
2,20
3,31
3,531
3,113
3,29
3,176
4,235
4,202
4,54
4,267
5,37
5,161
5,213
6,207
6,84
6,177
7,110
7,137
7,263
7,171
8,297
8,293
9,124
9,137
9,128
9,171
9,129
10,117
10,122
10,172
11,201
11,136
11,82
12,97
12,226
12,297
12,138
12,171
13,97
13,124
14,220
14,284
14,263
14,153
14,135
15,263
15,218
15,117
16,232
16,263
16,66
16,153
16,122
17,88
17,177
17,173
17,263
17,34
18,177
18,173
18,64
18,263
18,82
19,30
19,124
19,82
19,138
19,171
20,177
20,97
20,150
21,105
21,97
21,261
21,226
21,170
22,100
22,97
22,34
22,122
22,171
23,293
23,129
23,171
23,292
23,89
24,97
24,124
25,97
25,124
26,117
26,97
26,263
26,122
26,171
27,97
27,129
27,265
27,214
28,97
28,124
28,293
28,117
29,97
29,124
30,201
30,301
30,124
30,128
30,117
31,97
32,97
33,97
33,234
33,302
33,802
34,97
34,124
35,117
35,122
35,171
36,97
36,61
36,60
36,2
36,56
37,173
37,263
37,82
37,117
38,171
39,97
39,124
40,248
40,96
40,171
40,129
41,97
41,124
42,293
42,97
42,117
43,97
43,124
44,97
44,124
45,97
45,124
46,88
46,162
46,111
46,152
47,97
47,124
48,136
48,173
48,232
48,97
48,56
49,97
50,263
50,111
50,144
50,117
50,122
51,97
51,124
52,97
52,124
53,97
53,144
53,111
54,97
54,124
55,97
55,124
56,97
56,124
56,173
56,117
57,117
57,263
58,97
58,124
59,97
60,259
60,263
60,144
60,122
61,97
61,124
62,97
62,124
63,97
63,124
64,97
64,124
65,1
65,110
65,293
65,97
66,97
66,124
67,97
67,124
68,97
68,293
68,117
69,97
69,124
69,122
69,117
70,97
70,124
71,97
71,124
72,265
72,172
73,97
73,124
74,97
74,124
75,297
75,117
75,122
76,97
76,124
77,97
77,124
78,259
78,137
78,263
78,242
78,138
79,97
79,124
80,226
80,175
80,117
80,171
81,97
82,117
82,263
82,122
83,34
83,175
83,218
83,171
84,97
84,124
85,97
85,124
86,97
86,117
87,263
87,297
87,218
88,97
88,263
88,34
88,177
88,293
89,195
89,297
90,97
90,124
91,97
