pIndex,aIndex
1,290
1,391
1,448
2,48
2,58
2,60
2,91
2,120
2,304
2,336
2,383
2,423
2,520
3,101
3,136
3,145
3,168
3,189
3,207
3,314
3,321
3,347
3,383
3,421
3,441
3,548
4,1
4,22
4,31
4,33
4,34
4,35
4,37
4,38
4,39
4,40
4,42
4,45
4,49
4,51
4,52
4,56
4,57
4,61
4,62
4,63
4,64
4,65
4,68
4,70
4,72
4,74
4,76
4,77
4,78
4,81
4,86
4,87
4,92
4,94
4,95
4,97
4,98
4,99
4,100
4,103
4,104
4,105
4,106
4,107
4,109
4,110
4,112
4,114
4,115
4,117
4,124
4,125
4,126
4,128
4,130
4,131
4,134
4,137
4,138
4,142
4,146
4,148
4,149
4,150
4,151
4,154
4,155
4,158
4,159
4,161
4,167
4,172
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,186
4,187
4,188
4,193
4,195
4,198
4,199
4,201
4,204
4,205
4,206
4,208
4,211
4,212
4,214
4,216
4,217
4,218
4,220
4,221
4,222
4,227
4,229
4,231
4,233
4,235
4,236
4,237
4,238
4,241
4,242
4,246
4,249
4,251
4,252
4,253
4,257
4,259
4,260
4,262
4,265
4,266
4,268
4,273
4,274
4,276
4,279
4,280
4,284
4,285
4,286
4,287
4,288
4,291
4,292
4,294
4,297
4,298
4,299
4,300
4,301
4,302
4,303
4,307
4,308
4,309
4,310
4,315
4,316
4,318
4,325
4,326
4,330
4,332
4,334
4,337
4,338
4,339
4,344
4,345
4,346
4,348
4,350
4,351
4,355
4,356
4,357
4,358
4,359
4,360
4,361
4,362
4,368
4,372
4,374
4,375
4,376
4,377
4,380
4,381
4,382
4,384
4,385
4,386
4,389
4,393
4,394
4,395
4,397
4,403
4,405
4,406
4,407
4,411
4,412
4,414
4,422
4,427
4,431
4,433
4,434
4,435
4,436
4,437
4,439
4,442
4,445
4,446
4,447
4,449
4,450
4,453
4,454
4,455
4,456
4,458
4,459
4,460
4,462
4,464
4,465
4,466
4,467
4,468
4,469
4,470
4,471
4,472
4,473
4,474
4,476
4,477
4,478
4,484
4,486
4,488
4,490
4,491
4,492
4,494
4,495
4,496
4,497
4,498
4,499
4,500
4,501
4,503
4,506
4,507
4,509
4,513
4,514
4,516
4,518
4,519
4,522
4,525
4,527
4,529
4,531
4,532
4,534
4,535
4,536
4,537
4,538
4,539
4,540
4,541
4,542
4,543
4,546
5,9
5,46
5,47
5,50
5,54
5,55
5,58
5,59
5,91
5,127
5,129
5,135
5,156
5,163
5,164
5,166
5,169
5,173
5,213
5,219
5,229
5,244
5,254
5,258
5,267
5,270
5,272
5,281
5,282
5,336
5,353
5,371
5,399
5,408
5,428
5,429
5,440
5,443
5,475
5,482
5,483
5,485
5,487
5,493
5,502
5,508
5,533
5,548
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,10
6,11
6,12
6,14
6,15
6,16
6,17
6,19
6,20
6,21
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,32
6,36
6,41
6,43
6,44
6,46
6,53
6,66
6,67
6,71
6,75
6,80
6,82
6,84
6,85
6,88
6,89
6,90
6,93
6,96
6,108
6,111
6,113
6,118
6,119
6,122
6,123
6,133
6,139
6,141
6,143
6,144
6,145
6,152
6,157
6,160
6,162
6,165
6,170
6,171
6,190
6,192
6,194
6,196
6,197
6,200
6,202
6,209
6,215
6,223
6,225
6,226
6,228
6,232
6,239
6,240
6,245
6,247
6,255
6,256
6,261
6,264
6,269
6,271
6,272
6,275
6,277
6,278
6,283
6,289
6,293
6,295
6,296
6,306
6,311
6,312
6,314
6,317
6,320
6,322
6,323
6,324
6,327
6,328
6,329
6,333
6,335
6,340
6,341
6,342
6,343
6,354
6,363
6,364
6,365
6,366
6,367
6,369
6,370
6,373
6,378
6,379
6,387
6,388
6,391
6,392
6,396
6,400
6,401
6,404
6,410
6,413
6,415
6,417
6,418
6,419
6,420
6,421
6,424
6,425
6,426
6,432
6,443
6,444
6,448
6,461
6,463
6,480
6,481
6,482
6,489
6,505
6,512
6,515
6,517
6,521
6,523
6,524
6,526
6,528
6,545
6,547
6,548
7,248
8,83
8,230
8,248
8,305
8,438
8,548
9,13
9,18
9,48
9,69
9,73
9,79
9,102
9,116
9,121
9,132
9,140
9,145
9,147
9,153
9,173
9,174
9,184
9,185
9,191
9,203
9,210
9,213
9,224
9,234
9,243
9,250
9,263
9,313
9,319
9,331
9,349
9,352
9,383
9,390
9,398
9,402
9,409
9,416
9,430
9,438
9,441
9,451
9,452
9,457
9,479
9,504
9,510
9,511
9,530
9,533
9,544
