tIndex,Tag,TagNor
1,BE,BE
2,BG,愛情
3,BG愛情,愛情
4,BL,BL
5,C8取n的有趣互動,C8取n的有趣互動
6,GL,GL
7,HE,HE
8,OL,OL
9,Youtube,Youtube
10,youtuber店員的日常記事,Youtube
11,一方死亡,一方死亡
12,人格分裂,人格分裂
13,十年創作經歷,十年創作經歷
14,女主,女主
15,女強重生,女主
16,小編哭3次,小編哭3次
17,不按牌理出牌才是王道,不按牌理出牌才是王道
18,中二,中二
19,中樂透,中樂透
20,公主婆爆,公主婆爆
21,分手不快樂,分手不快樂
22,反差萌,反差萌
23,天使,天使
24,天界護法轉世,天使
25,天師少年,少年
26,天然呆蘿莉,少女
27,少女,少女
28,少年少女,少年
528,少年少女,少女
29,少年們的合宿生活(?),少年
30,幻想,幻想
31,幻想冒險,幻想
531,幻想冒險,冒險
32,手足,手足
33,日式古風,古風
34,日常,日常
35,火山爆發,末日
36,世仇,世仇
37,世界末日,末日
38,世界名著,世界名著
39,仙俠,仙俠
40,兄控妹妹,兄控
41,古代,古代
42,古代言情,古代
542,古代言情,愛情
43,古典,古典
44,古風,古風
45,古風奇幻,奇幻
545,古風奇幻,古風
46,只好一起睡了,愛情
47,台北覆滅,末日
48,台味BL,BL
49,台灣冒險,冒險
50,史詩,史詩
51,囚禁,囚禁
52,失戀,失戀
53,巨乳幼馴染,青梅竹馬
54,平行時空,平行時空
55,幼馴染,青梅竹馬
56,末日,末日
57,末世,末日
58,末世愛情,末日
558,末世愛情,愛情
59,本格推理,推理
60,正劇,正劇
61,民族風,民族風
62,犯罪,犯罪
63,犯罪懸疑,犯罪
563,犯罪懸疑,懸疑
64,玄幻,玄幻
65,玄幻仙俠,玄幻
565,玄幻仙俠,仙俠
66,生存,生存
67,生存遊戲,生存
68,石榴石妖精,石榴石妖精
69,先吃後愛(?),愛情
70,先婚後愛,愛情
71,吃播,吃播
72,各色美男應有盡有,帥哥
73,同居,同居
74,同居日常,同居
75,后宮,愛情
76,因妹妹而死的我,因妹妹而死的我
77,因果業障,靈異
78,宅男,宅男
79,宇宙,宇宙
80,年下,年下
81,年齡差,年齡差
82,成長,成長
83,有貓就是正義,有貓就是正義
84,百合,GL
85,西方古典,西方古典
86,克蘇魯,妖怪
87,吸血鬼,妖怪
88,妖怪,妖怪
89,妖精使,妖怪
90,快穿,穿越
91,我的純情上司怎麼那麼可愛,BL
92,扭曲,扭曲
93,每個人都是異常者,穿越
94,每週四更新,每週四更新
95,求而不得,求而不得
96,系統,系統
97,奇幻,奇幻
98,奇幻冒險,奇幻
598,奇幻冒險,冒險
99,奇幻校園,奇幻
599,奇幻校園,校園
100,姊妹,手足
101,怪物,妖怪
102,怪談,靈異
103,武俠,武俠
104,治療,治療
105,治癒,治療
106,法庭攻防,法庭攻防
107,玩家,玩家
108,直播斗內,Youtube
109,社恐房東,社恐房東
